,ISI_ULASAN,KLASIFIKASI_FITUR,SUB_KLASIFIKASI_FITUR,ISI_ULASAN_TOKEN,ISI_ULASAN_STEMMED
4488,pln mobile mudah di guna dan sangat sample bantu sekali tidak perlu repot ke kantor tapi sayang sudah dua bulan tidak ada tindak lanjut dari tugas lapang untuk pasang kwh saya padahal sudah saya lunas sejak tgl,Service O2O,Mengubah daya / pasang baru tanpa realisasi atau pembatalan,"['pln', 'mobile', 'mudah', 'sample', 'bantu', 'repot', 'kantor', 'sayang', 'tindak', 'tugas', 'lapang', 'pasang', 'kwh', 'lunas', 'tgl']","['pln', 'mobile', 'mudah', 'sample', 'bantu', 'repot', 'kantor', 'sayang', 'tindak', 'tugas', 'lapang', 'pasang', 'kwh', 'lunas', 'tgl']"
4489,download gagal mulu,Registration,Sulit mendaftar/tidak bisa mendaftar,"['download', 'gagal', 'mulu']","['download', 'gagal', 'mulu']"
4490,udah jam internet iconnet masih mati tolong dong yang profesional semua channel dhubungin jawab sama teknisi ga ada yang datang jelas problem dan brp lama wktu up ga ada kalo kyk gin mau putus aja dari iconnet no hope,ICONNET,Service O2O ICONNET,"['udah', 'jam', 'internet', 'iconnet', 'mati', 'tolong', 'profesional', 'channel', 'dhubungin', 'teknisi', 'ga', 'problem', 'brp', 'wktu', 'up', 'ga', 'kyk', 'gin', 'putus', 'iconnet', 'no', 'hope']","['udah', 'jam', 'internet', 'iconnet', 'mati', 'tolong', 'profesional', 'channel', 'dhubungin', 'teknisi', 'ga', 'problem', 'brp', 'wktu', 'up', 'ga', 'kyk', 'gin', 'putus', 'iconnet', 'no', 'hope']"
4491,ketika mau pasang meter baru sangat ribet bingung dan aplikasi suka error masak kita suruh pilih mitra instalatir sendiri yg alamat kurang jelas lalu ketika mau verifikasi gagal terus karena tulis sudah verifikasi padahal status nya belum verifikasi bikin emosi aja nih aplikasi,Feature Errors,PB/PD,"['pasang', 'meter', 'ribet', 'bingung', 'aplikasi', 'suka', 'error', 'masak', 'suruh', 'pilih', 'mitra', 'instalatir', 'alamat', 'verifikasi', 'gagal', 'tulis', 'verifikasi', 'status', 'nya', 'verifikasi', 'emosi', 'nih', 'aplikasi']","['pasang', 'meter', 'ribet', 'bingung', 'aplikasi', 'suka', 'error', 'masak', 'suruh', 'pilih', 'mitra', 'instalatir', 'alamat', 'verifikasi', 'gagal', 'tulis', 'verifikasi', 'status', 'nya', 'verifikasi', 'emosi', 'nih', 'aplikasi']"
4492,min beli pulsa nomer meter nya udah benar tapi nomer meter nya salah,Service O2O,Respon lambat terhadap keluhan non-pemadaman,"['min', 'beli', 'pulsa', 'nomer', 'meter', 'nya', 'udah', 'nomer', 'meter', 'nya', 'salah']","['min', 'beli', 'pulsa', 'nomer', 'meter', 'nya', 'udah', 'nomer', 'meter', 'nya', 'salah']"
4493,uiii mau complain keluh mati listrik yang cepat tanggap gmn chat cs masa sibuk mulu berjamjamga masuk akal,Service O2O,Respon lambat terhadap keluhan pemadaman,"['uiii', 'complain', 'keluh', 'mati', 'listrik', 'cepat', 'tanggap', 'gmn', 'chat', 'cs', 'sibuk', 'mulu', 'berjamjamga', 'masuk', 'akal']","['uiii', 'complain', 'keluh', 'mati', 'listrik', 'cepat', 'tanggap', 'gmn', 'chat', 'cs', 'sibuk', 'mulu', 'berjamjamga', 'masuk', 'akal']"
4494,gak bisa belik,Feature Errors,Fungsi fitur gagal,"['gak', 'belik']","['gak', 'belik']"
4495,pln mobile mudah di guna dan sangat sample bantu sekali tidak perlu repot ke kantor tapi sayang sudah dua bulan tidak ada tindak lanjut dari tugas lapang untuk pasang kwh saya padahal sudah saya lunas sejak tgl yang sangat sedih sekali kenapa koq di pln mobile setatus nya sudah nyala dari tgl juli sungguh hebat kerja tugas lapang pln,Service O2O,Mengubah daya / pasang baru tanpa realisasi atau pembatalan,"['pln', 'mobile', 'mudah', 'sample', 'bantu', 'repot', 'kantor', 'sayang', 'tindak', 'tugas', 'lapang', 'pasang', 'kwh', 'lunas', 'tgl', 'sedih', 'koq', 'pln', 'mobile', 'setatus', 'nya', 'nyala', 'tgl', 'juli', 'sungguh', 'hebat', 'kerja', 'tugas', 'lapang', 'pln']","['pln', 'mobile', 'mudah', 'sample', 'bantu', 'repot', 'kantor', 'sayang', 'tindak', 'tugas', 'lapang', 'pasang', 'kwh', 'lunas', 'tgl', 'sedih', 'koq', 'pln', 'mobile', 'setatus', 'nya', 'nyala', 'tgl', 'juli', 'sungguh', 'hebat', 'kerja', 'tugas', 'lapang', 'pln']"
4496,sungguh ini aplikasi hanya formalitas kalo memang belum siap go digital gak usah maksa launching aplikasi yg loadingnya udah kayak jaman internet di tahun lalu motivasi buat marketplace itu apasih kalo produk yg di jual tidak hubung dengan pln masa iya yg di jual parfum bumbu dapur snack cik an di jual hanya karena mau kejar voucher tambah daya come on pln usaha besar ini eksekusi gin aja masa buruk ini sih,Feature Errors,Gangguan Server,"['sungguh', 'aplikasi', 'formalitas', 'go', 'digital', 'gak', 'maksa', 'launching', 'aplikasi', 'loadingnya', 'udah', 'kayak', 'jaman', 'internet', 'motivasi', 'marketplace', 'apasih', 'produk', 'jual', 'hubung', 'pln', 'iya', 'jual', 'parfum', 'bumbu', 'dapur', 'snack', 'cik', 'an', 'jual', 'kejar', 'voucher', 'daya', 'come', 'on', 'pln', 'usaha', 'eksekusi', 'gin', 'buruk']","['sungguh', 'aplikasi', 'formalitas', 'go', 'digital', 'gak', 'maksa', 'launching', 'aplikasi', 'loadingnya', 'udah', 'kayak', 'jaman', 'internet', 'motivasi', 'marketplace', 'apasih', 'produk', 'jual', 'hubung', 'pln', 'iya', 'jual', 'parfum', 'bumbu', 'dapur', 'snack', 'cik', 'an', 'jual', 'kejar', 'voucher', 'daya', 'come', 'on', 'pln', 'usaha', 'eksekusi', 'gin', 'buruk']"
4497,layan mu ituloh sangat kecewa tagih sudah bayar saldo sudh potong nyata di aplikasi masih tetep ada tagih udah di transfer  pake rekening yang beda malah gagal semua terus duit ilang mana,Feature Errors,Status payment gagal tapi saldo sudah terpotong,"['layan', 'mu', 'ituloh', 'kecewa', 'tagih', 'bayar', 'saldo', 'sudh', 'potong', 'nyata', 'aplikasi', 'tetep', 'tagih', 'udah', 'transfer', 'pake', 'rekening', 'beda', 'gagal', 'duit', 'ilang']","['layan', 'mu', 'ituloh', 'kecewa', 'tagih', 'bayar', 'saldo', 'sudh', 'potong', 'nyata', 'aplikasi', 'tetep', 'tagih', 'udah', 'transfer', 'pake', 'rekening', 'beda', 'gagal', 'duit', 'ilang']"
4498,aplikasi lot poin baru ngumpulin udah ga laku aja,Feature Errors,Gangguan Server,"['aplikasi', 'lot', 'poin', 'ngumpulin', 'udah', 'ga', 'laku']","['aplikasi', 'lot', 'poin', 'ngumpulin', 'udah', 'ga', 'laku']"
4499,error terus listrik naek terus fasilitas untung diri sendiri di berita rugi mulu untung kagak lu beritain,Feature Errors,Gangguan Server,"['error', 'listrik', 'naek', 'fasilitas', 'untung', 'berita', 'rugi', 'mulu', 'untung', 'kagak', 'lu', 'beritain']","['error', 'listrik', 'naek', 'fasilitas', 'untung', 'berita', 'rugi', 'mulu', 'untung', 'kagak', 'lu', 'beritain']"
4500,sering ganggu gak bisa  pakai,Feature Errors,Gangguan Server,"['ganggu', 'gak', 'pakai']","['ganggu', 'gak', 'pakai']"
4501,banyak bugs selalu sedang ada ganggu,Feature Errors,Gangguan Server,"['bugs', 'ganggu']","['bugs', 'ganggu']"
4502,karena server nya masih sering error atau mungkin aplikasi nya masih banyak bug saya kasih bintang satu harus ada baik lah masak kelas bumn tapi rasa ndeso masak kalah sama yang swasta,Feature Errors,Gangguan Server,"['server', 'nya', 'error', 'aplikasi', 'nya', 'bug', 'kasih', 'bintang', 'masak', 'kelas', 'bumn', 'ndeso', 'masak', 'kalah', 'swasta']","['server', 'nya', 'error', 'aplikasi', 'nya', 'bug', 'kasih', 'bintang', 'masak', 'kelas', 'bumn', 'ndeso', 'masak', 'kalah', 'swasta']"
4503,tidak dapat hubung dengan server hadehh,Feature Errors,Gangguan Server,"['hubung', 'server', 'hadehh']","['hubung', 'server', 'hadehh']"
4504,kembali dana dari bayar gagal sangat lambat walaupun bukti lengkap,Feature Errors,Status payment gagal tapi saldo sudah terpotong,"['dana', 'bayar', 'gagal', 'lambat', 'bukti', 'lengkap']","['dana', 'bayar', 'gagal', 'lambat', 'bukti', 'lengkap']"
4505,kamera tidak fungsi jadi saya tidak bisa upgrade akun saya ingin aju tambah daya listrik jadi gak bisa,Feature Errors,Permintaan verifikasi ID tidak dapat diajukan,"['kamera', 'fungsi', 'upgrade', 'akun', 'aju', 'daya', 'listrik', 'gak']","['kamera', 'fungsi', 'upgrade', 'akun', 'aju', 'daya', 'listrik', 'gak']"
4506,sangat lambat dalam tangan di lapang,Service O2O,Respon lambat terhadap keluhan non-pemadaman,"['lambat', 'tangan', 'lapang']","['lambat', 'tangan', 'lapang']"
4507,sudah bbtp hari ini ambil poin hari error tidak bisa ambil,Feature Errors,Fungsi fitur gagal,"['bbtp', 'ambil', 'poin', 'error', 'ambil']","['bbtp', 'ambil', 'poin', 'error', 'ambil']"
4508,pln gak konsisten sesuai surat edar yang di ikan ada info lalu surat edar akan ada padam listrik pukul sd pukul tapi nyata listrik padam pukul tolong dalam beri kan info padam itu yang akurat dan sesuai surat edar kecuali dalam surat edar tulis jumlah waktu padam berapa lama tanpa ada terang awal padam jam berapa sih itu gak masalah inti nya harap konsisten sama apa yg sudah di buat dan di edar ke langgan,Umum,Keluhan Probis,"['pln', 'gak', 'konsisten', 'sesuai', 'surat', 'edar', 'ikan', 'info', 'surat', 'edar', 'padam', 'listrik', 'sd', 'nyata', 'listrik', 'padam', 'tolong', 'info', 'padam', 'akurat', 'sesuai', 'surat', 'edar', 'kecuali', 'surat', 'edar', 'tulis', 'padam', 'terang', 'padam', 'jam', 'gak', 'inti', 'nya', 'harap', 'konsisten', 'edar', 'langgan']","['pln', 'gak', 'konsisten', 'sesuai', 'surat', 'edar', 'ikan', 'info', 'surat', 'edar', 'padam', 'listrik', 'sd', 'nyata', 'listrik', 'padam', 'tolong', 'info', 'padam', 'akurat', 'sesuai', 'surat', 'edar', 'kecuali', 'surat', 'edar', 'tulis', 'padam', 'terang', 'padam', 'jam', 'gak', 'inti', 'nya', 'harap', 'konsisten', 'edar', 'langgan']"
4509,kenapa skrg malah susah masuk tidak dapat hubung ke server terus padahal aplikasi sdh sangat bantu mohon di perbaikimksih,Feature Errors,Gangguan Server,"['skrg', 'susah', 'masuk', 'hubung', 'server', 'aplikasi', 'bantu', 'mohon', 'perbaikimksih']","['skrg', 'susah', 'masuk', 'hubung', 'server', 'aplikasi', 'bantu', 'mohon', 'perbaikimksih']"
4510,layan parah aju iconnet kali kali tidak tanggap,ICONNET,Registration ICONNET,"['layan', 'parah', 'aju', 'iconnet', 'kali', 'kali', 'tanggap']","['layan', 'parah', 'aju', 'iconnet', 'kali', 'kali', 'tanggap']"
4511,pas mau lapor adu selalu mental mulu,Feature Errors,Pengaduan tidak bisa di submit/tidak bisa digunakan,"['pas', 'lapor', 'adu', 'mental', 'mulu']","['pas', 'lapor', 'adu', 'mental', 'mulu']"
4512,kamera error,Feature Errors,Permintaan verifikasi ID tidak dapat diajukan,"['kamera', 'error']","['kamera', 'error']"
4513,layan parah aju iconnet kali kali tidak tanggap,ICONNET,Registration ICONNET,"['layan', 'parah', 'aju', 'iconnet', 'kali', 'kali', 'tanggap']","['layan', 'parah', 'aju', 'iconnet', 'kali', 'kali', 'tanggap']"
4514,aplikasi tidak fungsi saya sudah ukang proses adu karena listrik sering padam di rumah tapi tidak di respon nyesal download aplikaai ini,Service O2O,Respon lambat terhadap keluhan pemadaman,"['aplikasi', 'fungsi', 'ukang', 'proses', 'adu', 'listrik', 'padam', 'rumah', 'respon', 'nyesal', 'download', 'aplikaai']","['aplikasi', 'fungsi', 'ukang', 'proses', 'adu', 'listrik', 'padam', 'rumah', 'respon', 'nyesal', 'download', 'aplikaai']"
4515,bangsssattt cek error suruh hapus cace logout dan restar hp masih eror telp cs cuman buat lapor login lagi dalam akun gagal karn sudah terlalu sering login pake otp ga jelassss,Registration,Sulit login/tidak bisa login,"['bangsssattt', 'cek', 'error', 'suruh', 'hapus', 'cace', 'logout', 'restar', 'hp', 'eror', 'telp', 'cs', 'cuman', 'lapor', 'login', 'akun', 'gagal', 'karn', 'login', 'pake', 'otp', 'ga', 'jelassss']","['bangsssattt', 'cek', 'error', 'suruh', 'hapus', 'cace', 'logout', 'restar', 'hp', 'eror', 'telp', 'cs', 'cuman', 'lapor', 'login', 'akun', 'gagal', 'karn', 'login', 'pake', 'otp', 'ga', 'jelassss']"
4516,skip ga responsip lepas tanggung jawab jelek lah,Service O2O,Laporan pengaduan tidak di respon,"['skip', 'ga', 'responsip', 'lepas', 'tanggung', 'jelek']","['skip', 'ga', 'responsip', 'lepas', 'tanggung', 'jelek']"
4517,lot banget,Feature Errors,Gangguan Server,"['lot', 'banget']","['lot', 'banget']"
4518,aplikasi sering tidak hubung ke server,Feature Errors,Gangguan Server,"['aplikasi', 'hubung', 'server']","['aplikasi', 'hubung', 'server']"
4519,lama masih banyak kendala tolong kalo ingin buat fitur cass mobil di pusat pln pasti semua jalan dengan baik tidak ada kendala sangat kecewa,Feature Errors,Fitur SPKLU,"['kendala', 'tolong', 'fitur', 'cass', 'mobil', 'pusat', 'pln', 'jalan', 'kendala', 'kecewa']","['kendala', 'tolong', 'fitur', 'cass', 'mobil', 'pusat', 'pln', 'jalan', 'kendala', 'kecewa']"
4520,sudah bbtp hari ini ambil poin hari error tidak bisa ambil update an sudah versi yg terupdate,Feature Errors,Fungsi fitur gagal,"['bbtp', 'ambil', 'poin', 'error', 'ambil', 'update', 'an', 'versi', 'terupdate']","['bbtp', 'ambil', 'poin', 'error', 'ambil', 'update', 'an', 'versi', 'terupdate']"
4521,kualitas layan sekarang sudah tidak bagus saya laku adu tapi di batal,Service O2O,Keluhan yang ditandai dilakukan tanpa realisasi,"['kualitas', 'layan', 'bagus', 'laku', 'adu', 'batal']","['kualitas', 'layan', 'bagus', 'laku', 'adu', 'batal']"
4522,yahuiiii,Umum,Lain-lain,['yahuiiii'],['yahuiiii']
4523,guna utk isi foto ktp tidak bisa loading terus knapa sih tolong web ini di baik dong,Feature Errors,Permintaan verifikasi ID tidak dapat diajukan,"['utk', 'isi', 'foto', 'ktp', 'loading', 'knapa', 'tolong', 'web']","['utk', 'isi', 'foto', 'ktp', 'loading', 'knapa', 'tolong', 'web']"
4524,hanya bulan pertama yg lancar lanjut tiap tengah bulan selalu ganggu dan harga paket jd lonjak dengan ppn dri ke,ICONNET,Feature Payment ICONNET,"['lancar', 'ganggu', 'harga', 'paket', 'jd', 'lonjak', 'ppn', 'dri']","['lancar', 'ganggu', 'harga', 'paket', 'jd', 'lonjak', 'ppn', 'dri']"
4525,iconnet ganggu terus sudah hari ga bisa sudah laopr kali tetep ga ada response dari teknisi,ICONNET,Service O2O ICONNET,"['iconnet', 'ganggu', 'ga', 'laopr', 'kali', 'tetep', 'ga', 'response', 'teknisi']","['iconnet', 'ganggu', 'ga', 'laopr', 'kali', 'tetep', 'ga', 'response', 'teknisi']"
4526,id tiket emulbas internet mati indikator merah sudah kasih info kabel putus jalan tapi minggu lebih tidak ada tangan sangat rugi guna mohon untuk layan iconnect baik,ICONNET,Service O2O ICONNET,"['id', 'tiket', 'emulbas', 'internet', 'mati', 'indikator', 'merah', 'kasih', 'info', 'kabel', 'putus', 'jalan', 'minggu', 'tangan', 'rugi', 'mohon', 'layan', 'iconnect']","['id', 'tiket', 'emulbas', 'internet', 'mati', 'indikator', 'merah', 'kasih', 'info', 'kabel', 'putus', 'jalan', 'minggu', 'tangan', 'rugi', 'mohon', 'layan', 'iconnect']"
4527,aplikasi  update juga tp fungsi gtu juga kata sudah akan sedia top up saldo langsung tanpa beli token lalu aplikasi keduanyatanya gak ada yg rubah fungsi sama sekali sama aja gak ada manfaat buat merngankan ekonomi masrakat yg dampak resesi negara kalo cuma bisa refund token dan hanya sbgai tempat adu langgan saja lihat kali ne rusa biang banyak masalah krn layan  prioritas kpd adu masalah  pln,Feature Design,Saran masukan user interface (UI),"['aplikasi', 'update', 'tp', 'fungsi', 'gtu', 'sedia', 'top', 'up', 'saldo', 'langsung', 'beli', 'token', 'aplikasi', 'keduanyatanya', 'gak', 'rubah', 'fungsi', 'gak', 'manfaat', 'merngankan', 'ekonomi', 'masrakat', 'dampak', 'resesi', 'negara', 'refund', 'token', 'sbgai', 'adu', 'langgan', 'lihat', 'kali', 'ne', 'rusa', 'biang', 'krn', 'layan', 'prioritas', 'kpd', 'adu', 'pln']","['aplikasi', 'update', 'tp', 'fungsi', 'gtu', 'sedia', 'top', 'up', 'saldo', 'langsung', 'beli', 'token', 'aplikasi', 'keduanyatanya', 'gak', 'rubah', 'fungsi', 'gak', 'manfaat', 'merngankan', 'ekonomi', 'masrakat', 'dampak', 'resesi', 'negara', 'refund', 'token', 'sbgai', 'adu', 'langgan', 'lihat', 'kali', 'ne', 'rusa', 'biang', 'krn', 'layan', 'prioritas', 'kpd', 'adu', 'pln']"
4528,layan baik belum di kerja di lapor sudah di kejakan terus bagaimana penangananya,Service O2O,Keluhan yang ditandai dilakukan tanpa realisasi,"['layan', 'kerja', 'lapor', 'kejakan', 'penangananya']","['layan', 'kerja', 'lapor', 'kejakan', 'penangananya']"
4529,gw sih ga ada masalah sama app nya cmn mau ngeluh aja karena di tempat gw selalu mati lampu kagak jelas moga cepat mati buat operator moga di siksa yaah,Service O2O,Respon lambat terhadap keluhan pemadaman,"['gw', 'ga', 'app', 'nya', 'cmn', 'ngeluh', 'gw', 'mati', 'lampu', 'kagak', 'moga', 'cepat', 'mati', 'operator', 'moga', 'siksa', 'yaah']","['gw', 'ga', 'app', 'nya', 'cmn', 'ngeluh', 'gw', 'mati', 'lampu', 'kagak', 'moga', 'cepat', 'mati', 'operator', 'moga', 'siksa', 'yaah']"
4530,tiap mau buat adu selalu gagal terus selalu kembali ke menu utama padahal udah hapus cache dan lain lain tolong baik app nya,Feature Errors,Pengaduan tidak bisa di submit/tidak bisa digunakan,"['adu', 'gagal', 'menu', 'utama', 'udah', 'hapus', 'cache', 'tolong', 'app', 'nya']","['adu', 'gagal', 'menu', 'utama', 'udah', 'hapus', 'cache', 'tolong', 'app', 'nya']"
4531,gajelas gaada beri kenapa kalau pas mati lampu,Feature Design,Fitur notifikasi pemadaman,"['gajelas', 'gaada', 'pas', 'mati', 'lampu']","['gajelas', 'gaada', 'pas', 'mati', 'lampu']"
4532,tidak bisa laku adu di sistem adu pasang baru di daerah gowa sulawesi selatan dari november sampai sekarang bulan februari belum pasang alas material kabel belum ada dan jelas tidak jelas tolong jelas pasang listrik baru kami padahal bayar sudah lunas dan bangun sudah tempat tapi listrik masih numpang tidak sesuai nawacita perintah indonesia klo begini,Service O2O,Mengubah daya / pasang baru tanpa realisasi atau pembatalan,"['laku', 'adu', 'sistem', 'adu', 'pasang', 'daerah', 'gowa', 'sulawesi', 'selatan', 'november', 'februari', 'pasang', 'alas', 'material', 'kabel', 'tolong', 'pasang', 'listrik', 'bayar', 'lunas', 'bangun', 'listrik', 'numpang', 'sesuai', 'nawacita', 'perintah', 'indonesia']","['laku', 'adu', 'sistem', 'adu', 'pasang', 'daerah', 'gowa', 'sulawesi', 'selatan', 'november', 'februari', 'pasang', 'alas', 'material', 'kabel', 'tolong', 'pasang', 'listrik', 'bayar', 'lunas', 'bangun', 'listrik', 'numpang', 'sesuai', 'nawacita', 'perintah', 'indonesia']"
4533,lambat tangan nya kontrol pln dari pusat ke tugas lapang tidak bisa persen saya lihat tracking baik tidak sesuai lapor tugas lapang pusat tempat sy listrik padam berjamjamdi aplikasi terang nyala sementara padahal tidak harus dari pusat hubung lapor untuk pasti benar lapor tugas lapang udah gitu tidak bisa bikin adu lg jika adu tsb blm selesai,Service O2O,Keluhan yang ditandai dilakukan tanpa realisasi,"['lambat', 'tangan', 'nya', 'kontrol', 'pln', 'pusat', 'tugas', 'lapang', 'persen', 'lihat', 'tracking', 'sesuai', 'lapor', 'tugas', 'lapang', 'pusat', 'sy', 'listrik', 'padam', 'berjamjamdi', 'aplikasi', 'terang', 'nyala', 'pusat', 'hubung', 'lapor', 'lapor', 'tugas', 'lapang', 'udah', 'gitu', 'adu', 'lg', 'adu', 'tsb', 'blm', 'selesai']","['lambat', 'tangan', 'nya', 'kontrol', 'pln', 'pusat', 'tugas', 'lapang', 'persen', 'lihat', 'tracking', 'sesuai', 'lapor', 'tugas', 'lapang', 'pusat', 'sy', 'listrik', 'padam', 'berjamjamdi', 'aplikasi', 'terang', 'nyala', 'pusat', 'hubung', 'lapor', 'lapor', 'tugas', 'lapang', 'udah', 'gitu', 'adu', 'lg', 'adu', 'tsb', 'blm', 'selesai']"
4534,utk cek adu yg sudag kirim nomor adu selalu minta karena tidak hafal saya tidak bisa lacak adu,Feature Design,Fitur Pengaduan,"['utk', 'cek', 'adu', 'sudag', 'kirim', 'nomor', 'adu', 'hafal', 'lacak', 'adu']","['utk', 'cek', 'adu', 'sudag', 'kirim', 'nomor', 'adu', 'hafal', 'lacak', 'adu']"
4535,ribet,Feature Design,Saran masukan user interface (UI),['ribet'],['ribet']
4536,undi pln di undi kapan nih lama lama kok ngak jelas,Umum,Reward,"['undi', 'pln', 'undi', 'nih', 'ngak']","['undi', 'pln', 'undi', 'nih', 'ngak']"
4537,saldo sudah potong di bank status token gagal proses adu lambat sudah minggu tidak ada jawabantolong segera di proses,Feature Errors,Status payment gagal tapi saldo sudah terpotong,"['saldo', 'potong', 'bank', 'status', 'token', 'gagal', 'proses', 'adu', 'lambat', 'minggu', 'jawabantolong', 'proses']","['saldo', 'potong', 'bank', 'status', 'token', 'gagal', 'proses', 'adu', 'lambat', 'minggu', 'jawabantolong', 'proses']"
4538,sudah tidak efectif lagi lapor sdh sering di batal cara pihak khusus regional sumbagsel,Service O2O,Keluhan yang ditandai dilakukan tanpa realisasi,"['efectif', 'lapor', 'batal', 'khusus', 'regional', 'sumbagsel']","['efectif', 'lapor', 'batal', 'khusus', 'regional', 'sumbagsel']"
4539,siiiip,Umum,Lain-lain,['siiiip'],['siiiip']
